cbench-consumer-tiff2rgba/tif_read/TIFFStartStrip,11120.660156,11670.911133
cbench-consumer-tiff2rgba/tif_read/TIFFFillStrip,17360.251953,21973.132812
cbench-consumer-tiff2rgba/tif_read/TIFFSeek,5769.897949,6539.898438
cbench-consumer-tiff2rgba/tif_predict/horAcc8,7673.979004,7277.355469
cbench-consumer-tiff2rgba/tif_predict/PredictorDecodeRow,16447.099609,14880.788086
cbench-consumer-tiff2rgba/tif_read/TIFFReadScanline,27039.365234,26528.910156
cbench-consumer-tiff2rgba/tiffmedian/get_histogram,2040840.625000,26173.693359
cbench-consumer-tiff2rgba/tiffmedian/largest_box,7520.765625,17449.812500
cbench-consumer-tiff2rgba/tiffmedian/map_colortable,894796.125000,73759.898438
cbench-consumer-tiff2rgba/tif_strip/_TIFFDefaultStripSize,11038.030273,11752.938477
cbench-consumer-tiff2rgba/tif_write/TIFFSetupStrips,27708.718750,33711.824219
cbench-consumer-tiff2rgba/tif_write/TIFFWriteCheck,22509.017578,23614.142578
cbench-consumer-tiff2rgba/tif_write/TIFFWriteBufferSetup,11680.389648,15489.973633
cbench-consumer-tiff2rgba/tif_write/TIFFFlushData1,10331.443359,10692.399414
cbench-consumer-tiff2rgba/tif_flush/TIFFFlushData,15660.058594,14073.484375
cbench-consumer-tiff2rgba/tif_dumpmode/DumpModeEncode,10868.558594,11012.828125
cbench-consumer-tiff2rgba/tif_write/TIFFAppendToStrip,17804.958984,21608.388672
cbench-consumer-tiff2rgba/tif_write/TIFFGrowStrips,27592.068359,25375.916016
cbench-consumer-tiff2rgba/tiffmedian/quant,2873089.500000,1872700.500000
cbench-consumer-tiff2rgba/tif_lzw/LZWCleanup,16976.310547,22412.242188
cbench-consumer-tiff2rgba/tif_close/TIFFClose,41242.949219,46097.144531
cbench-consumer-tiff2rgba/tif_dirwrite/TIFFLinkDirectory,21933.281250,22338.302734
cbench-consumer-tiff2rgba/tif_dirwrite/TIFFSetupShortLong,5456.471191,5911.292969
cbench-consumer-tiff2rgba/tif_dirwrite/TIFFWriteShortArray,5619.892090,7150.019043
cbench-consumer-tiff2rgba/tif_dirwrite/TIFFWritePerSampleShorts,16779.414062,20733.035156
cbench-consumer-tiff2rgba/tif_dirwrite/TIFFWriteData,16231.386719,16593.974609
cbench-consumer-tiff2rgba/tif_dirwrite/TIFFWriteLongArray,10887.101562,8878.811523
cbench-consumer-tiff2rgba/tif_dirwrite/TIFFWriteRationalArray,21817.414062,19223.480469
cbench-consumer-tiff2rgba/tif_dirwrite/TIFFWriteShortTable,21866.214844,20545.025391
cbench-consumer-tiff2rgba/tif_flush/TIFFFlush,16518.072266,17559.037109
cbench-consumer-tiff2rgba/ctuning-rtl/main,1577366.000000,2413610.500000
cbench-automotive-bitcount/bitcnt_1/bit_count,5397.032227,7039.618164
cbench-automotive-bitcount/bitcnt_4/ntbl_bitcnt,9775.941406,14327.100586
cbench-automotive-bitcount/bitcnts/bit_shifter,5594.312500,8494.186523
polybench-cpu-cholesky/cholesky/init_array,37238.000000,24399.310547
polybench-cpu-cholesky/cholesky/kernel_cholesky,11885.959961,16387.109375
polybench-cpu-cholesky/cholesky/print_array,1493428.000000,38819.910156
cbench-office-stringsearch2/fgg_search/local_strncmp,5551.359863,14885.869141
cbench-office-stringsearch2/fgg_search/strsearch2,232449.968750,7717.503906
polybench-cpu-seidel-2d/seidel-2d/init_array,41964.000000,33478.070312
polybench-cpu-seidel-2d/seidel-2d/kernel_seidel_2d,81113.351562,71274.882812
polybench-cpu-seidel-2d/seidel-2d/print_array,1592451.000000,1493331.875000
polybench-cpu-seidel-2d/seidel-2d/main,828840704.000000,206464976.000000
polybench-cpu-lu/lu/init_array,40528.000000,30381.943359
polybench-cpu-lu/lu/kernel_lu,18990.917969,25178.294922
polybench-cpu-lu/lu/print_array,1431235.000000,1493331.875000
polybench-cpu-jacobi-2d-imper/jacobi-2d-imper/init_array,21240.000000,6266.458496
polybench-cpu-jacobi-2d-imper/jacobi-2d-imper/kernel_jacobi_2d_imper,49898.121094,11022.431641
polybench-cpu-jacobi-2d-imper/jacobi-2d-imper/print_array,1614826.000000,176867.921875
polybench-cpu-syrk/syrk/init_array,51264.000000,63428.265625
polybench-cpu-syrk/syrk/kernel_syrk,47345.667969,32159.824219
polybench-cpu-syrk/syrk/print_array,1396329.000000,1493331.875000
cbench-bzip2/bzip2/copyFileName,6084.084473,16440.958984
cbench-bzip2/bzip2/addFlagsFromEnvVar,6327.442383,13607.331055
cbench-bzip2/bzip2/myMalloc,5400.230957,18894.267578
